Switch_traffic_lights 增刪號誌燈
Add_priority_signs 增訂優先通行權
Manual_traffic_lights 手控號誌燈
Timed_traffic_lights 號誌燈時相設定
Change_lane_arrows 改變車道遵行方向
Clear_Traffic 消除所有車輛
Disable_despawning 久塞車輛永不消失
Enable_despawning 允許久塞車輛消失
NODE_IS_LIGHT 具有預設燈號的道路節點。\n選用「增刪號誌燈」並點選該道路節點來刪除號誌燈。
NODE_IS_TIMED_LIGHT 具有自訂程序燈號的道路節點。\n先選用「號誌燈時相設定」，再點選該道路節點並點選「移除」以移除設定。
Select_nodes_windowTitle 請點選道路節點
Select_nodes 請點選道路節點
Node 道路節點
Deselect_all_nodes 取消選擇所有道路節點
Setup_timed_traffic_light 設定號誌燈時相
State 狀態
Skip 跳過
up 上移
down 下移
View 檢視
Edit 編輯
Delete 刪除
Timed_traffic_lights_manager 號誌燈時相設定工具
Add_step 增加時相
Remove_timed_traffic_light 移除號誌燈時相設定
Min._Time: 最短時間
Max._Time: 最長時間
Save 儲存
Add 增加
Sensitivity 靈敏度
Very_Low 非常低
Low 低
Medium 中
High 高
Very_high 非常高
Extreme_long_green/red_phases 最長的紅、綠燈時相
Very_long_green/red_phases 很長的紅、綠燈時相
Long_green/red_phases 稍長的紅、綠燈時相
Moderate_green/red_phases 中等的紅、綠燈時相
Short_green/red_phases 稍短的紅、綠燈時相
Very_short_green/red_phases 很短的紅、綠燈時相
Extreme_short_green/red_phases 最短的紅、綠燈時相
Hide_counters 隱藏讀秒
Show_counters 顯示讀秒
Start 啟用
Stop 停止
Enable_test_mode_(stay_in_current_step) 允許測試模式（停留在當前時相）
avg._flow 平均通過
avg._wait 平均停等
min/max 最短/最長
Lane 車道
Set_Speed 設定速限 {0}
Max_speed 最高速限
Segment 路段
incoming 進入
Enable_Advanced_Vehicle_AI 啟用加強版行車AI
Vehicles_may_enter_blocked_junctions 塞車回堵時不用保持路口淨空。
All_vehicles_may_ignore_lane_arrows 所有車輛可忽略車道遵行方向
Busses_may_ignore_lane_arrows 公車可忽略車道遵行方向
Reckless_driving 違規駕駛率（功能測試中）
TMPE_Title 交通管理器：尊爵版（TM:PE）
Settings_are_defined_for_each_savegame_separately 每個存檔保有各自獨立的設定
Simulation_accuracy 模擬精準度（較高的精準度會降低效能）
Enable_highway_specific_lane_merging/splitting_rules 在高速公路外側車道上實施特有的加減速車道規則
Drivers_want_to_change_lanes_(only_applied_if_Advanced_AI_is_enabled): 駕駛人變換車道的習慣（僅適用於加強版AI啟用時）
Maintenance 錯誤修復
Very_often 很頻繁
Often 經常
Sometimes 有時候
Rarely 偶爾
Very_rarely 甚少
Only_if_necessary 僅必要時
Nodes_and_segments 道路交岔點和路段
Lanes 車道
Path_Of_Evil_(10_%) 馬路我最大(10%)
Rush_Hour_(5_%) 上班趕時間(5%)
Minor_Complaints_(2_%) 對不起借過(2%)
Holy_City_(0_%) 守法乖寶寶(0%)
Forget_toggled_traffic_lights 捨棄設定的交通燈號
Road_is_already_in_a_group! 道路已在連鎖群組中
All_selected_roads_must_be_of_the_same_type! 所有選擇的道路必須是同類型的
Create_group 創建連鎖群組
Delete_group 刪除連鎖群組
Add_zoning 增加區劃
Remove_zoning 移除區劃
Lane_Arrow_Changer_Disabled_Highway 改變車道遵行方向的功能已關閉，因為您已實施高速公路特有的行駛規則
Add_junction_to_timed_light 將此交岔路口加入號誌燈時相連鎖
Remove_junction_from_timed_light 將此交岔路口移出號誌燈時相連鎖
Select_junction 選取一處道路交叉點
Cancel 取消
Speed_limits 速限
Persistently_visible_overlays 固定檢視的項目
Priority_signs 優先通行權標誌
Vehicles_may_do_u-turns_at_junctions 車輛可在路口迴轉
Vehicles_going_straight_may_change_lanes_at_junctions 直行車可在交岔路口中變換車道
Allow_u-turns 允許迴轉
Allow_lane_changing_for_vehicles_going_straight 允許直行車變換車道
Allow_vehicles_to_enter_a_blocked_junction 允許塞車回堵時不用保持路口淨空
Road_condition_has_a_bigger_impact_on_vehicle_speed 道路養護狀態對車速有較大的影響
Vehicle_restrictions 車種限定
Copy 複製
Paste 貼上
Invert 對調選擇
Apply_vehicle_restrictions_to_all_road_segments_between_two_junctions 對兩個路口間的全部路段套用車種限定
Allow_all_vehicles 通行所有車種
Ban_all_vehicles 禁行所有車種
Set_all_traffic_lights_to_red 將所有號誌燈設為紅燈
Rotate_left 逆時針調換
Rotate_right 順時針調換
Name 名稱
Apply 套用
Select_a_timed_traffic_light_program 請點選一個號誌燈的時相程序
The_chosen_traffic_light_program_is_incompatible_to_this_junction 所選的號誌燈時相不適用於此交岔路口
Advanced_AI_cannot_be_activated 加強版 AI 無法啟動
The_Advanced_Vehicle_AI_cannot_be_activated 加強版車輛AI無法啟動，因為您其它的車輛行控模組正作動中（例如 Improved AI 或 Traffic++）
Enable_dynamic_path_calculation 啟用動態的路線運算
Lane_Arrow_Changer_Disabled_Connection 因為您已手動創建了車道的連接，故在此車道上無法使用「改變遵行方向」的功能
Lane_connector 車道連接工具
Connected_lanes 已連接車道
Use_alternative_view_mode 使用替代瀏覽模式
Road_type 道路類型
Default_speed_limit 預設道路速限
Unit_system 單位制
Metric 公制
Imperial 英制
Use_more_CPU_cores_for_route_calculation_if_available 使用更多的CPU核心來做路線運算 (若有的話)
Activated_features 已啟用的功能
Junction_restrictions 交岔路口動線連接制定
Prohibit_spawning_of_pocket_cars 禁止行人憑空變出汽車來移動
Reset_stuck_cims_and_vehicles 重置卡死的行人和車輛
Default_speed_limits 預設速限
Looking_for_a_parking_spot 尋找停車位中
Driving_to_a_parking_spot 開往停車位中
Driving_to_another_parking_spot 開往另一處停車位中
Entering_vehicle 上車中
Walking_to_car 走向汽車中
Using_public_transport 使用大眾交通工具中
Walking 走路中
Thinking_of_a_good_parking_spot 盤算一個好停車位中
Switch_view 切換檢視
Outgoing_demand 出貨需求
Incoming_demand 進貨需求
Advanced_Vehicle_AI 加強版行車AI
Heavy_trucks_prefer_outer_lanes_on_highways 大型車在高速公路上盡量行駛於外側車道
Parking_AI 道路停車AI
Enable_more_realistic_parking 啟用更多現實中的停車位
Reset_custom_speed_limits 重置自訂速限
Reload_global_configuration 重新載入所有設定
Reset_global_configuration 重置所有設定
General 一般設定
Gameplay 遊戲設定
Overlays 疊視項目
Realistic_speeds 現實速度
Evacuation_busses_may_ignore_traffic_rules 緊急疏散公車可忽略交通規則
Evacuation_busses_may_only_be_used_to_reach_a_shelter 緊急疏散公車僅可用於到達避難所
Vehicle_behavior 車輛行為
Policies_&_Restrictions 政策與限制
At_junctions 位在交岔路口
In_case_of_emergency 在緊急狀況下
Show_lane-wise_speed_limits 顯示車道速限
Language 語言
Game_language 遊戲顯示語言
requires_game_restart 需要重新啟動遊戲
Customizations_come_into_effect_instantaneously 自訂值即時生效
Options 選項
Lock_main_menu_button_position 鎖定主選單的選項位置
Lock_main_menu_position 鎖定主選單的位置
Recalculating_lane_routing 重新規劃行駛路線
Please_wait 請稍候
Parking_restrictions 停車限制
Simulation 模擬設定
On_roads 專用道路
Ban_private_cars_and_trucks_on_bus_lanes 禁止自有車輛和卡車使用公車專用道
default 預設值
flow_ratio 通過車流量比率
wait_ratio 停等車流量比率
After_min._time_has_elapsed_switch_to_next_step_if 超過最短時間後，如果以下條件成立亦將切換至下一時相
Adaptive_step_switching 自適應逐步切換
Dynamic_lane_section 動態車道選擇
Percentage_of_vehicles_performing_dynamic_lane_section 執行「動態車道選擇」車輛的百分比
Vehicle_restrictions_aggression 行車守法程度
Strict 嚴格
Show_path-find_stats  顯示尋路統計
Remove_this_vehicle 移除此車輛
Vehicles_follow_priority_rules_at_junctions_with_timed_traffic_lights 車輛在多時相號誌燈的路口仍遵守路口禮讓規則
Enable_tutorial_messages 啟用教學訊息
TMPE_TUTORIAL_HEAD_MainMenu 交通管理器：尊爵版（TM:PE）
TMPE_TUTORIAL_BODY_MainMenu 歡迎使用交通管理器：尊爵版（TM:PE）!\n\n使用手冊：http://www.viathinksoft.de/tmpe
TMPE_TUTORIAL_HEAD_JunctionRestrictionsTool 交岔路口限制
TMPE_TUTORIAL_BODY_JunctionRestrictionsTool 控制車輛或行人在交叉路口的行為方式。\n\n1. 點選您要設定的交岔路口聯結\n2. 點選相應的圖標以切換限制。\n\n可使用的限制：\n- 允許/禁止直行車輛變換車道\n- 允許/禁止迴轉\n- 允許/禁止車輛進入已回堵的路口\n- 允許/禁止行人穿越馬路
TMPE_TUTORIAL_HEAD_LaneArrowTool 車道遵行方向
TMPE_TUTORIAL_BODY_LaneArrowTool 限制車輛可用的方向選擇。\n\n1. 點選鄰接在路口的路段\n2. 選取准許的方向。
TMPE_TUTORIAL_HEAD_LaneConnectorTool 車道連接工具
TMPE_TUTORIAL_BODY_LaneConnectorTool 將兩個或多個車道互相連接，來定義車輛可使用的車道。\n\n1. 點選車道變換處（灰色圓圈）。\n2. 點選起始車道標點。\n3. 點選目標車道標點以與起始標點連接。\n4. 任點滑鼠右鍵以返回起始車道選擇的階段。\n\n可用熱鍵：\n\n- 「Delete」或「Backspace」：移除所有車道連接\n- 「Shift」+「S」：在非路口節點循環顯示「車道保持直駛」所有可能的形式
TMPE_TUTORIAL_HEAD_ManualTrafficLightsTool 手控號誌燈
TMPE_TUTORIAL_BODY_ManualTrafficLightsTool 試試看自訂號誌燈。\n\n1. 點選一處路口\n2. 使用本工具來控制號誌燈。
TMPE_TUTORIAL_HEAD_ParkingRestrictionsTool 停車限制
TMPE_TUTORIAL_BODY_ParkingRestrictionsTool 控制允許路邊停車的路段。\n\n點選「P」圖示。\n\n可用熱鍵：\n\n- 「Shift」：按住並點擊來使兩個路口間的整段路一次套用停車限制
TMPE_TUTORIAL_HEAD_PrioritySignsTool Priority signs
TMPE_TUTORIAL_BODY_PrioritySignsTool Define priority rules at junctions.\n\n1. Click on a junction.\n2. Click on the blank spots to cycle through the available priority signs (priority road, yield, stop).\n\nAvailable hotkeys:\n\n- Shift: Hold Shift to add priority signs to multiple road segments at once. Click again while holding Shift to cycle through all available patterns.
TMPE_TUTORIAL_HEAD_SpeedLimitsTool Speed limits
TMPE_TUTORIAL_BODY_SpeedLimitsTool Set up speed restrictions.\n\n1. In the window, click on the speed limit you want to set.\n2. Click on a road segment to change the speed limit.\n\nAvailable hotkeys:\n\n- Shift: Hold Shift while clicking to apply speed limits to multiple road segments at once.\n- Ctrl: Hold Ctrl to control speed limits per individual lane.
TMPE_TUTORIAL_HEAD_TimedTrafficLightsTool Timed traffic lights
TMPE_TUTORIAL_BODY_TimedTrafficLightsTool Set up timed traffic lights.\n\n1. Click on a junction.\n2. In the window, click on "Add step".\n3. Click on the overlay elements to set desired traffic lights states.\n4. Click on "Add".\n5. Repeat as desired.
TMPE_TUTORIAL_HEAD_ToggleTrafficLightsTool Toggle traffic lights
TMPE_TUTORIAL_BODY_ToggleTrafficLightsTool Add or remove traffic lights to/from junctions.\n\nClick on a junction to toggle traffic lights.
TMPE_TUTORIAL_HEAD_VehicleRestrictionsTool Vehicle restrictions
TMPE_TUTORIAL_BODY_VehicleRestrictionsTool Ban vehicles from certain road segments.\n\n1. Click on a road segment.\n2. Click on the icons to toggle restrictions.\n\nDistinguished vehicle types:\n\n- Road vehicles: Passenger cars, busses, taxis, cargo trucks, service vehicles, emergency vehicles\n- Rail vehicles: Passenger trains, cargo trains\n\nAvailable hotkeys:\n\n- Shift: Hold Shift while clicking to apply restrictions to multiple road segments at once.
TMPE_TUTORIAL_HEAD_SpeedLimitsTool_Defaults Default speed limits
TMPE_TUTORIAL_BODY_SpeedLimitsTool_Defaults 1. Use the arrows in the upper half to cycle through all road types.\n2. In the lower half, select a speed limit.\n3. Click on "Save" to set the selected speed limit as default for future road segments of the selected type. Click on "Save & Apply" to also update all existing roads of the selected type.
TMPE_TUTORIAL_HEAD_TimedTrafficLightsTool_AddStep Add a timed step 
TMPE_TUTORIAL_BODY_TimedTrafficLightsTool_AddStep 1. Within the in-game overlay, click on the traffic lights to change their state. Use the "Change mode" button to add directional traffic lights.\n2. Enter both a minimum and maximum duration for the step. After the min. time has elapsed the traffic light will count and compare approaching vehicles.\n3. Optionally, select a step switching type. Per default, the step changes if roughly less vehicles are driving than waiting.\n4. Optionally, adjust the light's sensitivity. For example, move the slider to the left to make the timed traffic light less sensitive for waiting vehicles. 
TMPE_TUTORIAL_HEAD_TimedTrafficLightsTool_Copy Copy a timed traffic light
TMPE_TUTORIAL_BODY_TimedTrafficLightsTool_Copy Click on another junction to paste the timed traffic light.\n\nClick anywhere with your secondary mouse button to cancel the operation.
TMPE_TUTORIAL_HEAD_TimedTrafficLightsTool_AddJunction Add a junction to the timed traffic light 
TMPE_TUTORIAL_BODY_TimedTrafficLightsTool_AddJunction Click on another junction to add it. Both lights will be joined such that the timed program will then control both junctions at once.\n\nClick anywhere with your secondary mouse button to cancel the operation.
TMPE_TUTORIAL_HEAD_TimedTrafficLightsTool_RemoveJunction Remove a junction from the timed traffic light
TMPE_TUTORIAL_BODY_TimedTrafficLightsTool_RemoveJunction Click on one of the junctions that are controlled by this timed program. The selected traffic light will be removed such that the timed programm will no longer manage it.\n\nClick anywhere with your secondary mouse button to cancel the operation.
